"","paste_names","meanrf","meanlr","meannn","sdrf","sdlr","sdnn","meanposrf","meanposlr","meanposnn","sdposrf","sdposlr","sdposnn","meannegrf","meanneglr","meannegnn","sdnegrf","sdneglr","sdnegnn"
"1","parc_sqm)
","0.8579","0.8253","0.836","0.0352","0.0361","0.0466","0.8693","0.9554","0.9455","0.043","0.0426","0.0361","0.8509","0.7454","0.7643","0.0511","0.046","0.0574"
"2","pn_sqm_sum)
","0.899","0.9411","0.9411","0.0289","0.0231","0.0233","0.908","0.981","0.9813","0.0418","0.0209","0.0201","0.8938","0.9045","0.9042","0.0418","0.0394","0.0391"
"3","num_panels)
","0.8668","0.8668","0.8668","0.0347","0.0347","0.0347","0.9028","0.9028","0.9028","0.0379","0.0379","0.0379","0.8343","0.8343","0.8343","0.0457","0.0457","0.0457"
"4","num_emps)
","0.7619","0.7276","0.7358","0.0419","0.0415","0.0429","0.8492","0.8776","0.9052","0.055","0.0566","0.0624","0.7018","0.6507","0.6539","0.045","0.0382","0.0383"
"5","parc_sqm 
pn_sqm_sum)
","0.9391","0.9408","0.9398","0.0233","0.0234","0.0237","0.9495","0.9739","0.976","0.0337","0.0238","0.023","0.9311","0.9104","0.9065","0.0381","0.0415","0.0403"
"6","parc_sqm 
num_panels)
","0.906","0.8731","0.8623","0.0303","0.0378","0.0353","0.9622","0.9377","0.8928","0.0313","0.0564","0.04","0.8586","0.8245","0.8347","0.0458","0.0524","0.0462"
"7","parc_sqm 
num_emps)
","0.8831","0.8543","0.8719","0.0317","0.0333","0.0331","0.8831","0.9433","0.9404","0.0417","0.0374","0.0366","0.8893","0.7895","0.8171","0.05","0.0472","0.0458"
"8","pn_sqm_sum 
num_panels)
","0.9406","0.9477","0.9512","0.0229","0.0242","0.0218","0.9693","0.986","0.9851","0.0281","0.0231","0.02","0.9142","0.9126","0.9195","0.0387","0.0402","0.0377"
"9","pn_sqm_sum 
num_emps)
","0.9353","0.9466","0.9478","0.0232","0.022","0.0222","0.9551","0.975","0.9806","0.0317","0.0245","0.0211","0.918","0.9202","0.9172","0.0398","0.0384","0.0387"
"10","num_panels 
num_emps)
","0.8627","0.8751","0.8751","0.0341","0.0337","0.0318","0.8933","0.9393","0.8982","0.0453","0.048","0.0411","0.8389","0.8265","0.8558","0.054","0.0528","0.048"
"11","parc_sqm 
pn_sqm_sum 
num_panels)
","0.9542","0.9446","0.9495","0.0211","0.0242","0.0221","0.9734","0.9763","0.9809","0.0243","0.0268","0.0211","0.9359","0.9156","0.92","0.035","0.0412","0.038"
"12","parc_sqm 
pn_sqm_sum 
num_emps)
","0.9415","0.9431","0.9446","0.0225","0.0219","0.0228","0.9533","0.9679","0.9746","0.0312","0.0273","0.0246","0.9318","0.9204","0.9167","0.0371","0.0387","0.0393"
"13","parc_sqm 
num_panels 
num_emps)
","0.9177","0.8871","0.8769","0.0282","0.0326","0.0353","0.9559","0.9462","0.9122","0.032","0.043","0.0519","0.8836","0.8393","0.8486","0.0436","0.0467","0.0494"
"14","pn_sqm_sum 
num_panels 
num_emps)
","0.9537","0.9476","0.9565","0.0212","0.0221","0.0202","0.9824","0.9766","0.9891","0.0228","0.0227","0.0153","0.9265","0.9204","0.9256","0.0363","0.0384","0.0359"
"15","parc_sqm 
pn_sqm_sum 
num_panels 
num_emps)","0.95","0.9439","0.9521","0.0216","0.0227","0.0219","0.9616","0.9689","0.982","0.0299","0.0274","0.0219","0.9401","0.921","0.9239","0.036","0.0391","0.0369"
