"","paste_names","meanrf","meanlr","meannn*"
"14","pn_sqm_sum, num_panels, num_emps","0.9537 (0.0212)","0.9476 (0.0221)","0.9565 (0.0202)"
"15","parc_sqm, pn_sqm_sum, num_panels, num_emps","0.95 (0.0216)","0.9439 (0.0227)","0.9521 (0.0219)"
"8","pn_sqm_sum, num_panels","0.9406 (0.0229)","0.9477 (0.0242)","0.9512 (0.0218)"
"11","parc_sqm, pn_sqm_sum, num_panels","0.9542 (0.0211)","0.9446 (0.0242)","0.9495 (0.0221)"
"9","pn_sqm_sum, num_emps","0.9353 (0.0232)","0.9466 (0.022)","0.9478 (0.0222)"
"12","parc_sqm, pn_sqm_sum, num_emps","0.9415 (0.0225)","0.9431 (0.0219)","0.9446 (0.0228)"
"2","pn_sqm_sum","0.899 (0.0289)","0.9411 (0.0231)","0.9411 (0.0233)"
"5","parc_sqm, pn_sqm_sum","0.9391 (0.0233)","0.9408 (0.0234)","0.9398 (0.0237)"
"13","parc_sqm, num_panels, num_emps","0.9177 (0.0282)","0.8871 (0.0326)","0.8769 (0.0353)"
"10","num_panels, num_emps","0.8627 (0.0341)","0.8751 (0.0337)","0.8751 (0.0318)"
"7","parc_sqm, num_emps","0.8831 (0.0317)","0.8543 (0.0333)","0.8719 (0.0331)"
"3","num_panels","0.8668 (0.0347)","0.8668 (0.0347)","0.8668 (0.0347)"
"6","parc_sqm, num_panels","0.906 (0.0303)","0.8731 (0.0378)","0.8623 (0.0353)"
"1","parc_sqm","0.8579 (0.0352)","0.8253 (0.0361)","0.836 (0.0466)"
"4","num_emps","0.7619 (0.0419)","0.7276 (0.0415)","0.7358 (0.0429)"
