"","paste_names","meanrf","meanlr","meannn","sdrf","sdlr","sdnn","meanposrf","meanposlr","meanposnn","sdposrf","sdposlr","sdposnn","meannegrf","meanneglr","meannegnn","sdnegrf","sdneglr","sdnegnn"
"1","parc_sqm)
","0.7631","0.7668","0.6762","0.0368","0.0366","0.0692","0.9674","0.9612","0.9687","0.0317","0.0343","0.0392","0.6702","0.675","0.597","0.0356","0.0358","0.0537"
"2","pn_sqm_sum)
","0.817","0.8781","0.8733","0.0451","0.0309","0.032","0.8444","0.998","0.9992","0.0552","0.0075","0.0049","0.7936","0.7959","0.7891","0.0532","0.0422","0.0428"
"3","num_panels)
","0.8067","0.8067","0.8056","0.035","0.035","0.0358","0.9907","0.9907","0.9907","0.0164","0.0164","0.0164","0.7112","0.7112","0.71","0.0383","0.0383","0.039"
"4","num_emps)
","0.6218","0.6114","0.5847","0.0375","0.0368","0.0334","0.9869","0.999","1","0.0324","0.0085","0","0.5537","0.5467","0.5299","0.025","0.0238","0.0202"
"5","parc_sqm 
pn_sqm_sum)
","0.8637","0.8327","0.8619","0.0382","0.0353","0.0344","0.9699","0.973","0.984","0.0267","0.0267","0.0212","0.7893","0.7465","0.7802","0.0496","0.0412","0.0441"
"6","parc_sqm 
num_panels)
","0.7925","0.7887","0.7981","0.0435","0.0383","0.042","0.9637","0.9646","0.9801","0.0323","0.0325","0.0256","0.7029","0.6977","0.7051","0.0474","0.0403","0.0445"
"7","parc_sqm 
num_emps)
","0.7899","0.7828","0.7117","0.0375","0.0355","0.0486","0.9637","0.9657","0.9744","0.0321","0.0317","0.0313","0.6993","0.6908","0.6231","0.0393","0.0361","0.0414"
"8","pn_sqm_sum 
num_panels)
","0.9095","0.9044","0.8917","0.0295","0.0289","0.0336","0.9914","0.9927","0.9923","0.0153","0.0127","0.0134","0.8448","0.836","0.818","0.0445","0.0426","0.0472"
"9","pn_sqm_sum 
num_emps)
","0.9037","0.8883","0.8849","0.0293","0.0304","0.0302","0.9928","0.9999","1","0.0132","0.0017","0.0013","0.8351","0.8092","0.8043","0.0435","0.0427","0.0417"
"10","num_panels 
num_emps)
","0.8371","0.8323","0.8195","0.0354","0.0345","0.0354","0.9915","0.9913","0.9911","0.015","0.0153","0.0157","0.7461","0.7402","0.7256","0.0422","0.0406","0.0402"
"11","parc_sqm 
pn_sqm_sum 
num_panels)
","0.8714","0.8369","0.8783","0.0353","0.0363","0.0355","0.9704","0.9734","0.9834","0.0262","0.0264","0.0209","0.7996","0.7519","0.8034","0.0471","0.0435","0.0477"
"12","parc_sqm 
pn_sqm_sum 
num_emps)
","0.8604","0.8328","0.8786","0.0383","0.0357","0.0313","0.9696","0.9732","0.9893","0.0269","0.0265","0.0169","0.7848","0.7467","0.8004","0.0496","0.0417","0.042"
"13","parc_sqm 
num_panels 
num_emps)
","0.8067","0.8018","0.8163","0.0384","0.0384","0.0401","0.9654","0.9694","0.9848","0.0308","0.03","0.022","0.7181","0.7112","0.724","0.0428","0.0415","0.0444"
"14","pn_sqm_sum 
num_panels 
num_emps)
","0.9083","0.9158","0.8995","0.0294","0.0277","0.0315","0.9928","0.9929","0.9926","0.0126","0.0124","0.0129","0.842","0.8535","0.8292","0.0442","0.0425","0.0455"
"15","parc_sqm 
pn_sqm_sum 
num_panels 
num_emps)","0.8638","0.8375","0.8872","0.0373","0.0371","0.0344","0.9698","0.9739","0.9852","0.0268","0.0262","0.0196","0.7894","0.7526","0.8152","0.0488","0.0445","0.048"
