"","paste_names","meanrf","meanlr*","meannn"
"14","pn_sqm_sum, num_panels, num_emps","0.9083 (0.0294)","0.9158 (0.0277)","0.8995 (0.0315)"
"8","pn_sqm_sum, num_panels","0.9095 (0.0295)","0.9044 (0.0289)","0.8917 (0.0336)"
"9","pn_sqm_sum, num_emps","0.9037 (0.0293)","0.8883 (0.0304)","0.8849 (0.0302)"
"2","pn_sqm_sum","0.817 (0.0451)","0.8781 (0.0309)","0.8733 (0.032)"
"15","parc_sqm, pn_sqm_sum, num_panels, num_emps","0.8638 (0.0373)","0.8375 (0.0371)","0.8872 (0.0344)"
"11","parc_sqm, pn_sqm_sum, num_panels","0.8714 (0.0353)","0.8369 (0.0363)","0.8783 (0.0355)"
"12","parc_sqm, pn_sqm_sum, num_emps","0.8604 (0.0383)","0.8328 (0.0357)","0.8786 (0.0313)"
"5","parc_sqm, pn_sqm_sum","0.8637 (0.0382)","0.8327 (0.0353)","0.8619 (0.0344)"
"10","num_panels, num_emps","0.8371 (0.0354)","0.8323 (0.0345)","0.8195 (0.0354)"
"3","num_panels","0.8067 (0.035)","0.8067 (0.035)","0.8056 (0.0358)"
"13","parc_sqm, num_panels, num_emps","0.8067 (0.0384)","0.8018 (0.0384)","0.8163 (0.0401)"
"6","parc_sqm, num_panels","0.7925 (0.0435)","0.7887 (0.0383)","0.7981 (0.042)"
"7","parc_sqm, num_emps","0.7899 (0.0375)","0.7828 (0.0355)","0.7117 (0.0486)"
"1","parc_sqm","0.7631 (0.0368)","0.7668 (0.0366)","0.6762 (0.0692)"
"4","num_emps","0.6218 (0.0375)","0.6114 (0.0368)","0.5847 (0.0334)"
