"","paste_names","meanrf","meanlr","meannn","sdrf","sdlr","sdnn","meanposrf","meanposlr","meanposnn","sdposrf","sdposlr","sdposnn","meannegrf","meanneglr","meannegnn","sdnegrf","sdneglr","sdnegnn"
"1","parc_sqm)
","0.9114","0.9299","0.8495","0.0374","0.0304","0.0509","0.8488","0.935","NaN","0.0891","0.0626",NA,"0.9404","0.9316","0.8332","0.0348","0.0357","0.0511"
"2","pn_sqm_sum)
","0.7984","0.8898","0.887","0.048","0.0337","0.0332","0.6376","0.9675","0.9692","0.0978","0.0584","0.0532","0.8724","0.875","0.8714","0.0392","0.0347","0.0341"
"3","num_panels)
","0.8478","0.8478","0.8475","0.0353","0.0353","0.0353","0.9593","0.9593","0.9593","0.0713","0.0713","0.0714","0.8317","0.8317","0.8314","0.0327","0.0327","0.0327"
"4","num_emps)
","0.7295","0.7513","0.7614","0.047","0.0348","0.0286","NaN","NaN","NaN",NA,NA,NA,"0.7767","0.7599","0.7563","0.0308","0.0226","0.021"
"5","parc_sqm 
pn_sqm_sum)
","0.9525","0.9526","0.9038","0.0248","0.0244","0.0349","0.9111","0.9518","0.972","0.062","0.0561","0.0485","0.9715","0.956","0.8896","0.026","0.0313","0.0373"
"6","parc_sqm 
num_panels)
","0.9345","0.9241","0.8618","0.0309","0.0331","0.0356","0.9039","0.9353","0.9655","0.0723","0.0684","0.0619","0.9489","0.9253","0.8452","0.0314","0.0404","0.0345"
"7","parc_sqm 
num_emps)
","0.9362","0.9325","0.8555","0.0287","0.032","0.0445","0.9032","0.9354","NaN","0.0686","0.0621",NA,"0.9518","0.9353","0.8392","0.0318","0.0387","0.0437"
"8","pn_sqm_sum 
num_panels)
","0.9005","0.8945","0.8955","0.0345","0.0364","0.0332","0.9137","0.9182","0.9435","0.0841","0.0826","0.0696","0.9009","0.892","0.8868","0.0357","0.0369","0.0353"
"9","pn_sqm_sum 
num_emps)
","0.8995","0.9033","0.8992","0.0375","0.033","0.033","0.9128","0.9701","0.972","0.0851","0.0501","0.0482","0.8996","0.8893","0.8842","0.0375","0.0349","0.0349"
"10","num_panels 
num_emps)
","0.8546","0.8666","0.8632","0.0366","0.0362","0.0362","0.9113","0.9387","0.9411","0.1022","0.0798","0.0789","0.8472","0.855","0.8503","0.0335","0.0353","0.0341"
"11","parc_sqm 
pn_sqm_sum 
num_panels)
","0.9568","0.9525","0.9142","0.0243","0.0247","0.0338","0.9141","0.9525","0.9712","0.062","0.0554","0.0506","0.9765","0.9555","0.9018","0.0243","0.0315","0.0368"
"12","parc_sqm 
pn_sqm_sum 
num_emps)
","0.9581","0.9516","0.9145","0.0237","0.0246","0.0339","0.9162","0.9516","0.9747","0.0614","0.0562","0.0442","0.9774","0.9548","0.9012","0.0231","0.0318","0.037"
"13","parc_sqm 
num_panels 
num_emps)
","0.9398","0.923","0.8768","0.0284","0.0331","0.0364","0.9179","0.9283","0.9611","0.0656","0.0699","0.065","0.9506","0.9265","0.8619","0.0309","0.0414","0.0361"
"14","pn_sqm_sum 
num_panels 
num_emps)
","0.9148","0.9037","0.9096","0.0333","0.0344","0.0333","0.9304","0.9249","0.9632","0.0706","0.0776","0.0587","0.9132","0.9016","0.8987","0.0348","0.0364","0.0362"
"15","parc_sqm 
pn_sqm_sum 
num_panels 
num_emps)","0.9614","0.951","0.9252","0.0244","0.0249","0.0326","0.914","0.9511","0.9811","0.0613","0.058","0.041","0.9831","0.9544","0.9122","0.0215","0.0319","0.0362"
