"","paste_names","meanrf*","meanlr","meannn"
"15","parc_sqm, pn_sqm_sum, num_panels, num_emps","0.9614 (0.0244)","0.951 (0.0249)","0.9252 (0.0326)"
"12","parc_sqm, pn_sqm_sum, num_emps","0.9581 (0.0237)","0.9516 (0.0246)","0.9145 (0.0339)"
"11","parc_sqm, pn_sqm_sum, num_panels","0.9568 (0.0243)","0.9525 (0.0247)","0.9142 (0.0338)"
"5","parc_sqm, pn_sqm_sum","0.9525 (0.0248)","0.9526 (0.0244)","0.9038 (0.0349)"
"13","parc_sqm, num_panels, num_emps","0.9398 (0.0284)","0.923 (0.0331)","0.8768 (0.0364)"
"7","parc_sqm, num_emps","0.9362 (0.0287)","0.9325 (0.032)","0.8555 (0.0445)"
"6","parc_sqm, num_panels","0.9345 (0.0309)","0.9241 (0.0331)","0.8618 (0.0356)"
"14","pn_sqm_sum, num_panels, num_emps","0.9148 (0.0333)","0.9037 (0.0344)","0.9096 (0.0333)"
"1","parc_sqm","0.9114 (0.0374)","0.9299 (0.0304)","0.8495 (0.0509)"
"8","pn_sqm_sum, num_panels","0.9005 (0.0345)","0.8945 (0.0364)","0.8955 (0.0332)"
"9","pn_sqm_sum, num_emps","0.8995 (0.0375)","0.9033 (0.033)","0.8992 (0.033)"
"10","num_panels, num_emps","0.8546 (0.0366)","0.8666 (0.0362)","0.8632 (0.0362)"
"3","num_panels","0.8478 (0.0353)","0.8478 (0.0353)","0.8475 (0.0353)"
"2","pn_sqm_sum","0.7984 (0.048)","0.8898 (0.0337)","0.887 (0.0332)"
"4","num_emps","0.7295 (0.047)","0.7513 (0.0348)","0.7614 (0.0286)"
