"","paste_names","meanrf","meanlr","meannn","sdrf","sdlr","sdnn","meanposrf","meanposlr","meanposnn","sdposrf","sdposlr","sdposnn","meannegrf","meanneglr","meannegnn","sdnegrf","sdneglr","sdnegnn"
"1","parc_sqm)
","0.8227","0.8821","0.6339","0.054","0.0477","0.0506","0.8235","0.9373","NaN","0.0803","0.0627",NA,"0.8351","0.8511","0.5931","0.0654","0.0581","0.0351"
"2","pn_sqm_sum)
","0.8331","0.8992","0.8786","0.0547","0.0419","0.0466","0.8378","0.995","1","0.0796","0.0215","0","0.8412","0.8462","0.8177","0.0645","0.0568","0.0587"
"3","num_panels)
","0.7066","0.7023","0.7005","0.0656","0.0587","0.0593","0.7499","0.8269","0.8232","0.0964","0.1357","0.1305","0.6907","0.6703","0.6662","0.0625","0.0554","0.0525"
"4","num_emps)
","0.6866","0.7225","0.7294","0.0669","0.0585","0.0554","0.726","0.8707","0.9316","0.1057","0.1069","0.0818","0.6753","0.6754","0.6721","0.064","0.0502","0.048"
"5","parc_sqm 
pn_sqm_sum)
","0.8804","0.913","0.8771","0.0479","0.044","0.0477","0.9151","0.9788","1","0.0683","0.0425","0","0.8637","0.8732","0.8159","0.0609","0.0565","0.0597"
"6","parc_sqm 
num_panels)
","0.862","0.8779","0.7169","0.0499","0.0494","0.0631","0.894","0.9252","0.8498","0.075","0.0681","0.1196","0.8486","0.8522","0.6749","0.0611","0.0589","0.0532"
"7","parc_sqm 
num_emps)
","0.8932","0.9081","0.7609","0.048","0.0452","0.0567","0.931","0.9464","0.9452","0.0639","0.0554","0.0671","0.8735","0.8859","0.7006","0.0614","0.058","0.053"
"8","pn_sqm_sum 
num_panels)
","0.8725","0.8898","0.8729","0.0463","0.0449","0.0496","0.9317","0.9739","0.9828","0.0673","0.0523","0.0491","0.8413","0.844","0.8175","0.0591","0.0571","0.0589"
"9","pn_sqm_sum 
num_emps)
","0.8988","0.8956","0.8758","0.0442","0.0439","0.0466","0.9405","0.9493","0.9755","0.0602","0.0495","0.0403","0.8764","0.8654","0.824","0.0606","0.0619","0.0597"
"10","num_panels 
num_emps)
","0.7811","0.7847","0.7768","0.0601","0.0564","0.0592","0.8097","0.8414","0.8441","0.0896","0.0803","0.0868","0.7737","0.7606","0.7486","0.0669","0.0658","0.0653"
"11","parc_sqm 
pn_sqm_sum 
num_panels)
","0.8812","0.9019","0.8719","0.0489","0.0462","0.0496","0.929","0.9546","0.9833","0.0642","0.0614","0.0479","0.8557","0.8715","0.816","0.0621","0.0569","0.0594"
"12","parc_sqm 
pn_sqm_sum 
num_emps)
","0.9204","0.9082","0.8737","0.0425","0.0423","0.0469","0.9723","0.9576","0.9767","0.047","0.0498","0.0409","0.8893","0.8788","0.8206","0.058","0.0565","0.0592"
"13","parc_sqm 
num_panels 
num_emps)
","0.8758","0.8998","0.7926","0.0492","0.0459","0.059","0.904","0.9329","0.8626","0.0673","0.063","0.0853","0.863","0.8821","0.7616","0.0618","0.0581","0.0647"
"14","pn_sqm_sum 
num_panels 
num_emps)
","0.8852","0.8877","0.8736","0.0457","0.0467","0.0499","0.9206","0.9377","0.9645","0.0681","0.0579","0.0537","0.8684","0.8605","0.8265","0.0608","0.0624","0.0622"
"15","parc_sqm 
pn_sqm_sum 
num_panels 
num_emps)","0.9036","0.902","0.8721","0.0468","0.0459","0.051","0.94","0.9418","0.9658","0.0601","0.0617","0.0528","0.8837","0.88","0.8247","0.0606","0.0586","0.0646"
