"","paste_names","meanrf*","meanlr","meannn"
"12","parc_sqm, pn_sqm_sum, num_emps","0.9204 (0.0425)","0.9082 (0.0423)","0.8737 (0.0469)"
"15","parc_sqm, pn_sqm_sum, num_panels, num_emps","0.9036 (0.0468)","0.902 (0.0459)","0.8721 (0.051)"
"9","pn_sqm_sum, num_emps","0.8988 (0.0442)","0.8956 (0.0439)","0.8758 (0.0466)"
"7","parc_sqm, num_emps","0.8932 (0.048)","0.9081 (0.0452)","0.7609 (0.0567)"
"14","pn_sqm_sum, num_panels, num_emps","0.8852 (0.0457)","0.8877 (0.0467)","0.8736 (0.0499)"
"11","parc_sqm, pn_sqm_sum, num_panels","0.8812 (0.0489)","0.9019 (0.0462)","0.8719 (0.0496)"
"5","parc_sqm, pn_sqm_sum","0.8804 (0.0479)","0.913 (0.044)","0.8771 (0.0477)"
"13","parc_sqm, num_panels, num_emps","0.8758 (0.0492)","0.8998 (0.0459)","0.7926 (0.059)"
"8","pn_sqm_sum, num_panels","0.8725 (0.0463)","0.8898 (0.0449)","0.8729 (0.0496)"
"6","parc_sqm, num_panels","0.862 (0.0499)","0.8779 (0.0494)","0.7169 (0.0631)"
"2","pn_sqm_sum","0.8331 (0.0547)","0.8992 (0.0419)","0.8786 (0.0466)"
"1","parc_sqm","0.8227 (0.054)","0.8821 (0.0477)","0.6339 (0.0506)"
"10","num_panels, num_emps","0.7811 (0.0601)","0.7847 (0.0564)","0.7768 (0.0592)"
"3","num_panels","0.7066 (0.0656)","0.7023 (0.0587)","0.7005 (0.0593)"
"4","num_emps","0.6866 (0.0669)","0.7225 (0.0585)","0.7294 (0.0554)"
