"","paste_names","meanrf","meanlr","meannn","sdrf","sdlr","sdnn","meanposrf","meanposlr","meanposnn","sdposrf","sdposlr","sdposnn","meannegrf","meanneglr","meannegnn","sdnegrf","sdneglr","sdnegnn"
"1","parc_sqm)
","0.9039","0.9139","0.8897","0.0417","0.0386","0.0417","0.8453","0.9381","0.9548","0.0987","0.0769","0.0776","0.9316","0.913","0.879","0.0432","0.0466","0.0434"
"2","pn_sqm_sum)
","0.894","0.9232","0.9208","0.0447","0.0404","0.0394","0.8185","0.9309","0.9341","0.1101","0.0888","0.081","0.9311","0.9273","0.9218","0.0435","0.0449","0.0439"
"3","num_panels)
","0.7661","0.7634","0.7579","0.0528","0.0518","0.0497","NaN","NaN","NaN",NA,NA,NA,"0.8001","0.7823","0.7848","0.0406","0.0345","0.0365"
"4","num_emps)
","0.7179","0.784","0.7818","0.0624","0.0419","0.0361","NaN","NaN","NaN",NA,NA,NA,"0.7893","0.7835","0.7753","0.0442","0.0313","0.0282"
"5","parc_sqm 
pn_sqm_sum)
","0.9447","0.9418","0.9387","0.0358","0.0328","0.034","0.91","0.9303","0.9428","0.0878","0.0804","0.0729","0.9625","0.9504","0.9411","0.034","0.0358","0.0373"
"6","parc_sqm 
num_panels)
","0.9282","0.9162","0.897","0.0383","0.0371","0.0422","0.9078","0.943","0.9558","0.0893","0.073","0.0724","0.9404","0.9138","0.8871","0.04","0.0444","0.045"
"7","parc_sqm 
num_emps)
","0.9369","0.908","0.889","0.0357","0.044","0.0432","0.9136","0.9074","0.943","0.0793","0.0933","0.0861","0.9495","0.9151","0.8809","0.0391","0.0504","0.0445"
"8","pn_sqm_sum 
num_panels)
","0.9268","0.9357","0.9337","0.0356","0.0367","0.0378","0.8973","0.9117","0.9208","0.0853","0.0904","0.085","0.9424","0.9496","0.943","0.0396","0.0373","0.0402"
"9","pn_sqm_sum 
num_emps)
","0.93","0.931","0.9287","0.0378","0.0393","0.0377","0.9192","0.928","0.9402","0.0828","0.0857","0.0743","0.9386","0.9361","0.9285","0.0417","0.0393","0.04"
"10","num_panels 
num_emps)
","0.8223","0.8106","0.8081","0.0515","0.052","0.0523","NaN","0.7728","NaN",NA,"0.1733",NA,"0.8404","0.8244","0.8148","0.0435","0.0416","0.0405"
"11","parc_sqm 
pn_sqm_sum 
num_panels)
","0.9436","0.9374","0.9382","0.0322","0.0327","0.0335","0.9261","0.9352","0.9384","0.0779","0.0817","0.0747","0.9536","0.9434","0.9425","0.0338","0.0372","0.0381"
"12","parc_sqm 
pn_sqm_sum 
num_emps)
","0.9512","0.9467","0.9503","0.0333","0.0344","0.0326","0.9327","0.9295","0.9581","0.0813","0.0843","0.0631","0.9623","0.9574","0.9507","0.0331","0.0341","0.036"
"13","parc_sqm 
num_panels 
num_emps)
","0.9334","0.9134","0.8958","0.0352","0.0415","0.0428","0.922","0.9137","0.9359","0.0767","0.0894","0.0863","0.9414","0.9197","0.8899","0.0395","0.0477","0.0441"
"14","pn_sqm_sum 
num_panels 
num_emps)
","0.9432","0.9396","0.9448","0.0355","0.0401","0.0357","0.9408","0.9169","0.9476","0.0722","0.0939","0.0719","0.9482","0.9531","0.9477","0.0403","0.0383","0.039"
"15","parc_sqm 
pn_sqm_sum 
num_panels 
num_emps)","0.9475","0.9389","0.9488","0.0354","0.0351","0.0343","0.9254","0.9258","0.9503","0.0847","0.0876","0.0663","0.9602","0.9488","0.9518","0.0347","0.0368","0.0385"
