"","paste_names","meanrf*","meanlr","meannn"
"12","parc_sqm, pn_sqm_sum, num_emps","0.9512 (0.0333)","0.9467 (0.0344)","0.9503 (0.0326)"
"15","parc_sqm, pn_sqm_sum, num_panels, num_emps","0.9475 (0.0354)","0.9389 (0.0351)","0.9488 (0.0343)"
"5","parc_sqm, pn_sqm_sum","0.9447 (0.0358)","0.9418 (0.0328)","0.9387 (0.034)"
"11","parc_sqm, pn_sqm_sum, num_panels","0.9436 (0.0322)","0.9374 (0.0327)","0.9382 (0.0335)"
"14","pn_sqm_sum, num_panels, num_emps","0.9432 (0.0355)","0.9396 (0.0401)","0.9448 (0.0357)"
"7","parc_sqm, num_emps","0.9369 (0.0357)","0.908 (0.044)","0.889 (0.0432)"
"13","parc_sqm, num_panels, num_emps","0.9334 (0.0352)","0.9134 (0.0415)","0.8958 (0.0428)"
"9","pn_sqm_sum, num_emps","0.93 (0.0378)","0.931 (0.0393)","0.9287 (0.0377)"
"6","parc_sqm, num_panels","0.9282 (0.0383)","0.9162 (0.0371)","0.897 (0.0422)"
"8","pn_sqm_sum, num_panels","0.9268 (0.0356)","0.9357 (0.0367)","0.9337 (0.0378)"
"1","parc_sqm","0.9039 (0.0417)","0.9139 (0.0386)","0.8897 (0.0417)"
"2","pn_sqm_sum","0.894 (0.0447)","0.9232 (0.0404)","0.9208 (0.0394)"
"10","num_panels, num_emps","0.8223 (0.0515)","0.8106 (0.052)","0.8081 (0.0523)"
"3","num_panels","0.7661 (0.0528)","0.7634 (0.0518)","0.7579 (0.0497)"
"4","num_emps","0.7179 (0.0624)","0.784 (0.0419)","0.7818 (0.0361)"
